#codfun,codecopartida,nompartida,iniciales,modificados,definitivos,obligaciones
337,24000,EDICIONES Y PUBLICACIONES JUVENTUD,1000,0,1000,0
337,48000,CONCURSO C.JUVENTUD,1000,0,1000,750
337,48002,AYUDAS TRANSPORTE UNIVERSITARIO C.JUVENTUD,8200,0,8200,7680
337,62500,EQUIPAMIENTO JUVENTUD,1000,0,1000,0
338,22600,GASTOS DIVERSOS FESTEJOS,0,-175,-175,2640.59
338,22610,CABALGATA REYES Y NAVIDAD,19000,2800,21800,28390.42
338,22611,FESTIVIDAD CANDELARIA,3500,-750,2750,2952.02
338,22612,FESTIVIDAD CARNAVAL,12000,0,12000,11934.98
338,22613,MUSICA EN LOS JARDINES,5000,0,5000,4391.25
338,22614,FIESTAS MAYOS,58000,26000,84000,76103.5
338,22615,FERIA PATRONAL,88000,0,88000,82601.84
338,22616,FIESTA DE LA MATANZA,8000,0,8000,9822.65
338,22799,ARRENDAMIENTO ESPACIO PARA FESTEJOS,0,0,0,600
338,24000,EDICIONES Y OTR. PUBLICACIONES FESTEJOS,10000,0,10000,11696.2
338,48000,"PREMIOS CONCURSOS CARNAVAL, MAYOS Y FERIA",20100,0,20100,18000
338,48002,SUBVENCION MOTOS CUSTOM MAYOS,5000,0,5000,5000
338,48003,SUBVENCION FIESTA BARRIO DE LOS DOLORES,3000,0,3000,3000
338,48004,SUBVENCION FIESTAS Bº  NTRA. SRA. DEL ROSARIO,500,0,500,500
338,48005,SUBVENCION FIESTAS Bº PACO RABAL,200,0,200,0
338,62500,EQUIPAMIENTO FESTEJOS,1000,175,1175,175
340,12000,RETRIB. BASICAS DEPORTES,46300.61,0,46300.61,51091.52
340,12009,OTRAS RETRIBUCIONES BASICAS,0,0,0,0
340,12100,COMPLEMENTO DESTINO DEPORTES,24151.19,0,24151.19,18950.33
340,12101,COMPLEMENTO ESPECIFICO DEPORTES,29932.42,0,29932.42,25204.35
340,22102,CALEFACCION INSTALACIONES DEPORTIVAS,30000,0,30000,38014.61
340,22104,VESTUARIO DEPORTES,3500,0,3500,3753.42
340,22300,AUTOBUSES ACTIVIDADES DEPORTIVAS,3000,0,3000,3527.01
340,22400,SEGUROS ACTIVIDADES DEPORTIVAS,4100,0,4100,892.03
340,22600,GTOS. DIVERSOS DEPORTES,5200,0,5200,6269.33
340,22602,PUBLICIDAD Y PROPAGANDA DEPORTES,0,0,0,665.5
340,22609,ACTIVIDADES DEPORTIVAS,49222,-30998.56,18223.44,37435.71
340,22699,GTOS. DIVERSOS DEPORTES (R.E.),69.09,0,69.09,69.09
340,22706,SERVICIO MEDICO DEPORTIVO,8400,0,8400,8400
340,48001,"PREMIOS, DIPLOMAS Y TROFEOS C.DEPORTES",2000,0,2000,0
340,48002,TRANSFERENCIAS PROGRAMA DEPORTES,67500,0,67500,67500
340,48004,CONVENIO MOTOCLUB ALHAMA,3000,0,3000,3000
340,48006,CONVENIO FUTBOL CLUB NOGOVI,1500,0,1500,1500
340,61090,REHABILITAC. PISTAS POLIDEPORT. EN PEDANIAS (I.R.),0,34439,34439,0
340,62500,EQUIPAMIENTO DEPORTES,1000,33632.59,34632.59,33632.58
342,21300,MTO. INSTALACIONES DEPORTIVAS,40000,-671.55,39328.45,53682.68
342,21399,MTO. INSTALACIONES DEPORTIVAS (R.E.),648.53,0,648.53,648.53
342,22100,MATERIAL INSTALACIONES DEPORTIVAS,18300,-1962.48,16337.52,2573.14
342,22700,GESTION PISCINAS,284843.74,0,284843.74,255245.27
342,22701,GESTION CONSERJERIAS INST. DEPORTIVAS,174500,0,174500,176303
342,22702,SERVICIO DEPORTE ESCOLAR,13000,0,13000,12996.5
342,62290,SOTANO POLIDEPORTIVO EL PRAICO (I.R.),0,8459,8459,0
410,22600,GTO. CORRIENTE AGRICULTURA,1000,0,1000,0
410,22601,FERIAS Y EXPOSICIONES C.AGRICULTURA,5000,0,5000,4580.57
410,23300,MULTAS Y SANCIONES CONFEDERAC. HIDROGRAFICA,0,0,0,1803.91
410,24000,CAMPAÑAS INFORMATIVAS AGRICULTURA,4000,0,4000,0
410,62500,EQUIPAMIENTO AGRICULTURA,1000,0,1000,0
414,22001,"PRENSA, LIBROS, REVISTAS.. PEDANIAS",0,0,0,476
414,22300,VIAJES C.PEDANIAS,1500,0,1500,1075.8
414,22601,MTO. INTERNET RURAL,3500,0,3500,2850
414,22608,GASTO CORRIENTE PEDANIAS,4000,0,4000,5248.44
414,22609,TALLERES C.PEDANIAS,15000,0,15000,16070.1
414,22610,ENCUENTRO DE CUADRILLAS,600,0,600,1016.4
414,22611,CONCIERTOS VERANO EN PEDANIAS,2500,0,2500,2657
414,22612,AUTO DE REYES Y NAVIDAD EN EL BERRO,2000,0,2000,0
414,22704,CONSERJES  PEDANIAS,1800,0,1800,1800
414,24000,EDICIONES Y FOLLETOS C.PEDANIAS,1600,0,1600,700
414,48000,SUBVENCION FIESTAS PEDANIA LAS CAÑADAS,3000,0,3000,3000
414,48001,SUBVENCION FIESTAS PEDANIA EL CAÑARICO,3000,0,3000,3000
414,48002,SUBVENCION FIESTAS PEDANIA LA COSTERA,3000,0,3000,3000
414,48003,SUBVENCION FIESTAS PEDANIA DE GEBAS,3000,0,3000,3000
414,48004,SUBVENCION FIESTAS PEDANIA DE EL BERRO,3000,0,3000,3000
414,48005,SUBVENCION NAVIDAD PEDANIA LAS CAÑADAS,600,0,600,600
414,48006,SUBVENCION NAVIDAD PEDANIA EL CAÑARICO,600,0,600,600
414,48007,SUBVENCION NAVIDAD PEDANIA LA COSTERA,600,0,600,600
414,48008,SUBVENCION NAVIDAD PEDANIA DE GEBAS,600,0,600,600
414,48009,SUBVENCION NAVIDAD PEDANIA DE EL BERRO,600,0,600,600
414,62500,EQUIPAMIENTO PEDANIAS,1000,0,1000,0
422,21200,CUOTA MTO. PARQUE INDUSTRIAL,4400,0,4400,2201.04
422,22600,GTOS. CORRIENTES INDUSTRIA,8000,-8000,0,2195.28
422,48000,CONVENIO MTO. PARQUE INDUSTRIAL,34000,0,34000,34000
422,48002,CONVENIO PARA  ACONDIC. VIVERO EMPRESAS,0,16000,16000,0
422,61990,OBRAS DE ACCESO PROVIS. A POLIG. INDUSTRIAL (I.R.),0,5083,5083,5082.99
422,62500,INCUBADORAS PARA NUEVOS EMPRESARIOS,0,10000,10000,0
431,22610,ACTIVIDADES COMERCIO,4900,-600,4300,0
431,22611,FERIA OULET,6000,0,6000,3800
431,24000,EDICIONES CONCEJ. COMERCIO,0,0,0,312
431,48000,CONVENIO ASOCIACION COMERCIANTES,8000,0,8000,8000
431,48001,PREMIOS CONCURSO COMERCIANTES,900,600,1500,1450
431,62500,EQUIPAMIENTO COMERCIO,1000,0,1000,0
432,12000,RETRIB. BASICAS TURISMO,23189.44,0,23189.44,25748.72
432,12009,OTRAS RETRIBUCIONES BASICAS,0,0,0,0
432,12100,COMPLEMENTO DESTINO TURISMO,11648.42,0,11648.42,9744.36
432,12101,COMPLEMENTO ESPECIFICO TURISMO,11391.36,0,11391.36,10226.88
432,13100,RETRIB. PERS. LAB. TEMP. TURISMO,7687.12,0,7687.12,13313.53
432,20900,"""Q"" CALIDAD TURISTICA (MARCA Y SUSCRIPCION)",1250,0,1250,1233.33
432,21300,MTO. PAGINA WEB TURISTICA,2500,0,2500,1454.16
432,22601,ATENCIONES PROTOCOLARIAS CONCEJ. TURISMO,0,0,0,349.5
432,22602,PUBLICIDAD CONCEJALIA DE TURISMO,0,0,0,1500
432,22603,FERIAS Y MERCADILLOS ARTESANALES,2600,0,2600,850
432,22609,GASTOS CTES. TURISMO,5000,0,5000,5133.8
432,22611,SONORIZACION Y OTROS SEMANA SANTA,2300,0,2300,968
432,22700,CONTRATOS TURISMO,1500,0,1500,0
432,22701,GUIAS TURISTICOS Y VISITAS TEATRALIZADAS,8500,0,8500,8043.18
432,24000,EDICIONES Y FOLLETOS C.TURISMO,9500,0,9500,11804.79
432,46300,APORT. MANC. TURISTICA SIERRA ESPUÑA,15000,0,15000,0
432,48001,BECAS PERSONAL TURISMO,8000,0,8000,5864.7
432,48002,"APORTACION "" VIAS VERDES""",4000,0,4000,4000
432,62500,EQUIPAMIENTO TURISMO,1000,0,1000,0
450,21300,MTO. MAQUINARIA Y UTILLAJE BRIGADA,3000,0,3000,1278.68
450,21400,MTO. VEHICULOS BRIGADA,8000,-1680,6320,20674.15
450,21499,MTO. VEHICULOS BRIGADA (R.E.),181.5,0,181.5,181.5
450,22104,VESTUARIO PERSONAL BRIGADA,8000,0,8000,7034.22
450,22105,MATERIALES Y SUMINISTROS BRIGADAS,7000,0,7000,11650.19
450,60990,MEJORA RED VIARIA (I.R.),0,8015,8015,0
450,62500,EQUIPAMIENTO INFRAESTRUCTURAS,1000,1680,2680,1680
454,22501,OCUPAC. TERRENOS FORESTALES Y RED DE CARRETERAS,6000,0,6000,1655.17
454,22700,MEJORA RED VIARIA PLAN 2014 -BACHEOS-,80000,0,80000,32006.97
454,22701,CONSERVACION Y MANT. N-340,20000,0,20000,21987.21
454,22703,CONSERVACION CTRA. RM-515 Y RM-608,2000,0,2000,2156
454,22704,DESBROCE Y TRATAM. FITOSANITARIO CMNOS. PUBL.,8500,0,8500,1790.8
454,61090,ACONDICIONAM. DE CAMINOS RURALES (I.R.),0,1110,1110,0
454,61990,MEJORA RED VIAL PLAN 2010 (I.R.),0,1585,1585,0
454,62500,EQUIPAMIENTO CAMINOS VECINALES,1000,0,1000,0
459,60901,COLECTOR CONEXION BOQUERA EMBALSE DEL RAL,0,0,0,0
459,60990,EMBALSE DE PLUVIALES EN EL RAL (I.R.),0,4654,4654,0
491,12000,RETRIB.BASICAS PERSONAL INFORMATIC,46879.24,0,46879.24,33984.06
491,12009,OTRAS RETRIBUCIONES BASICAS,0,0,0,0
491,12100,RETRIB.COMPLEMENT.PERSONAL INFORMATICA,28250.39,0,28250.39,15392.3
491,12101,COMPLEMENTO ESPECIFICO NUEVAS TECNOLOG.,34391.63,0,34391.63,19769.12
491,13100,PERS. LAB. TEMP. APOYO INFORMATICA,30563.4,0,30563.4,26498
491,21600,MTO. Y REPARACION EQUIPOS INFORMATICOS,40000,-10000,30000,1447.27
491,22002,CERTIFICADOS DIGITALES,3600,0,3600,6195
491,22112,SUMINISTROS INFORMATICA-CONSUMIBLES,16000,0,16000,12909.01
491,22199,SUMINISTROS INFORMATICA (R.E.),68.97,0,68.97,68.97
491,22702,CAPTACION PROFESIONAL DE IMAGENES EN DIVERSOS ACTO,0,0,0,2420
491,22706,MTO. PROGRAMAS INFORMATICOS (LICENCIAS...),61650,0,61650,72150.34
491,62600,ADQUISICION EQUIPOS INFORMATICOS,18000,18000,36000,21392.77
493,22600,DIA MUNDIAL DERECHOS DEL CONSUMIDOR,500,0,500,0
493,22703,GESTION OMIC,18200,0,18200,18132.12
493,62500,EQUIPAMIENTO CONSUMO,1000,0,1000,0
912,10000,RETRIB. ORGANOS DE GOBIERNO,238875.28,0,238875.28,237119.44
912,11000,RETRIB. PERSONAL EVENTUAL ORG. GOBIERNO,52933.16,0,52933.16,52933.16
912,12009,OTRAS RETRIBUCIONES BASICAS,0,0,0,0
912,22001,PRENSA Y LIBROS ORGANOS DE GOBIERNO,0,0,0,59
912,22101,SUMINISTRO AGUA PLENO,100,0,100,100.32
912,22601,ATENCIONES PROTOCOLARIAS ORG. GOBIERNO,7000,0,7000,5315.71
912,22609,ACTOS INSTITUCIONALES E IMPREVISTOS,5200,0,5200,0
912,23000,DIETAS ORGANOS GOBIERNO,1500,0,1500,564.01
912,23100,LOCOMOCION ORGANOS GOBIERNO,1500,0,1500,1079.61
912,23300,ASISTENCIAS RESTO MIEMBROS GOBIERNO,98640,0,98640,98640
912,48000,DOTACION ECONOMICA P.P.,15960,0,15960,15960
912,48001,DOTACION ECONOMICA C.C.D,10920,0,10920,10920
912,48002,DOTACION ECONOMICA P.S.O.E,13440,0,13440,13440
912,48003,DOTACION ECONOMICA I.U.,10920,0,10920,10920
912,48004,ALCALDE PEDANEO DE EL BERRO,3480,0,3480,3480
912,48005,ALCALDE PEDANEO DE GEBAS,3480,0,3480,3480
912,48006,ALCALDE PEDANEO DE EL CAÑARICO,3480,0,3480,3480
912,48007,ALCALDE PEDANEO DE LA COSTERA,3480,0,3480,3480
912,48008,ALCALDE PEDANEO DE LA CAÑADAS,3480,0,3480,3480
912,48010,CELEBRACION DEL DOCE DE OCTUBRE,600,0,600,600
912,62500,EQUIPAMIENTO ORGANOS DE GOBIERNO,1000,0,1000,0
920,12000,RETRIB. BASICAS ADMON. GRAL.,185412.12,0,185412.12,198457.72
920,12009,OTRAS RETRIBUCIONES BASICAS,0,0,0,0
920,12100,COMPLEMENTO DESTINO ADMON. GRAL.,109214.91,0,109214.91,82341.01
920,12101,COMPLENTO ESPECIFICO ADMON. GRAL,154059.08,0,154059.08,117467.49
920,13100,RETRIB. PERS. LAB. TEMPORAL ADMON.GRAL,55743.24,-1094.5,54648.74,66122.99
920,15000,PRODUCTIVIDAD PERSONAL,157427.39,0,157427.39,41590.1
920,15100,GRATIFICACIONES PERSONAL,10000,0,10000,8230.07
920,21200,MANTENIMIENTO DE EDIFICIOS E INSTALAC. PUBLICAS,35000,-25350.74,9649.26,9261.13
920,21201,MANTENIMIENTO PARKING MUNICIPAL,0,0,0,2067.75
920,21300,MTO. MAQUINARIA ADMON. GRAL,110000,-4500,105500,86302.6
920,22000,MATERIAL DE OFICINA ADMON.GRAL.,15000,0,15000,13385.9
920,22001,"PRENSA, REVISTAS, LIBROS ADMON. GRAL.",10000,0,10000,6745.55
920,22002,COMUNICACIONES POSTALES Y MENSAJERIA,42228.01,0,42228.01,32888.76
920,22100,SUMINISTRO ENERGIA ELECTRICA,995000,-9106.84,985893.16,976943.13
920,22103,"COMBUSTIBLE, CALEFACCION EDIF. PUBLICOS",58400,0,58400,41405.66
920,22112,MATERIAL ELECTRONICO Y DE TELECOMUNICACIONES,2000,-1952.94,47.06,752.11
920,22200,COMUNICACIONES TELEFONICAS ADMON. GRAL,75000,-2814.46,72185.54,56513.37
920,22400,PRIMAS SEGUROS,64416.93,0,64416.93,56592.74
920,22500,"TRIBUTOS, TASAS Y OTROS",20000,0,20000,20924.88
920,22602,PUBLICIDAD Y PROPAGANDA ADMON. GRAL,2000,0,2000,50846.53
920,22604,GASTOS JURIDICOS Y CONTENCIOSOS,2000,0,2000,1252.21
920,22700,LIMPIEZA EDIFICIOS MPALES.,770498.97,0,770498.97,769971.48
920,22701,PARKING MUNICIPAL,40000,0,40000,44223.74
920,22702,MTO. WEB  MPAL.,15315.28,0,15315.28,13310
920,22703,PREVENC.  RIESGOS LAB. Y VIGILANCIA SALUD,20152.72,0,20152.72,17328.81
920,22706,ASESORAMIENTO PROGRAMA DE NOMINAS,0,0,0,4882.46
920,22707,SERVICIO DE ASESORAMIENTO JURIDICO,12500,0,12500,12499.92
920,22708,SERVICIOS DE DEFENSA JURIDICA,11979,0,11979,14105.55
920,22709,SUMINISTRO EQUIPOS Y SERV. INTEGRAL DE IMPRESIONES,37303.4,0,37303.4,0
920,22799,PARKING MUNICIPAL (R.E),198.74,0,198.74,198.74
920,23020,DIETAS ADMON. GRAL.,1000,0,1000,719.15
920,23120,LOCOMOCION ADMON. GRAL.,8000,0,8000,1767.15
920,23300,ASISTENCIA A TRIBUNALES,8000,0,8000,948.6
920,23301,OTRAS INDEMNIZACIONES,0,0,0,19015.22
920,23302,INDEMNIZACIONES RESPONSABILIDAD PATRIMONIAL,10000,0,10000,7058.1
920,24000,PUBLICACIONES EN EL BORM,18000,0,18000,16763.04
920,48001,PERSONAL PRACTICAS EXTRACURRICULARES,0,1094.5,1094.5,994.5
920,61999,MEDIDAS DE SEGURIDAD EDIF. Y ESP. PUBL. (R.E.),1123.27,0,1123.27,1123.27
920,62300,MAQUINARIA Y OTRAS INVERSIONES,8000,43724.98,51724.98,44802.85
920,63300,PLAN DE AHORRO ENERGETICO,40000,0,40000,39981.45
932,12000,RETRIB. BASICAS ADMON. FINANCIERA,117736.28,0,117736.28,120656.99
932,12009,OTRAS RETRIBUCIONES BASICAS,0,0,0,0
932,12100,COMPLEMENTO DESTINO ADMON. FINANCIERA,76927.2,0,76927.2,61692.93
932,12101,COMPLEMENTO ESPECIFICO ADMON.FINANCIERA,106386.07,0,106386.07,81847.35
932,22702,VALORACIONES Y PERITAJES DE INMUEBLES,2000,0,2000,5307.48
932,22703,ASISTENCIA INFORMATICA TAO,3500,0,3500,453.75
932,22708,GESTION INGRESOS MUNICIPALES,770285.24,0,770285.24,758322.27
932,62500,EQUIPAMIENTO ADMINISTRACION FINANCIERA,1000,0,1000,0
941,46600,FEDERACION MUNICIPIOS R.MURCIA,3200,0,3200,3177.3
943,46700,CONSORCIO EXTINCION INCENDIOS,230788.81,0,230788.81,230788.81
944,46600,FEDERACION ESPAÑOLA MUNICIPIOS Y PROVINCIAS,1323.56,0,1323.56,1192.55
#,,,"  20,279,094.09   ","  4,096,170.65   ","  24,375,264.74   ","  19,135,206.94   "
